,date,nofsales
0,2007-02-07,1
1,2007-02-08,0
2,2007-02-09,0
3,2007-02-10,0
4,2007-02-11,0
5,2007-02-12,0
6,2007-02-13,0
7,2007-02-14,0
8,2007-02-15,0
9,2007-02-16,0
10,2007-02-17,0
11,2007-02-18,0
12,2007-02-19,0
13,2007-02-20,0
14,2007-02-21,0
15,2007-02-22,0
16,2007-02-23,0
17,2007-02-24,0
18,2007-02-25,0
19,2007-02-26,0
20,2007-02-27,1
21,2007-02-28,0
22,2007-03-01,0
23,2007-03-02,0
24,2007-03-03,0
25,2007-03-04,0
26,2007-03-05,0
27,2007-03-06,0
28,2007-03-07,1
29,2007-03-08,0
30,2007-03-09,1
31,2007-03-10,0
32,2007-03-11,0
33,2007-03-12,0
34,2007-03-13,0
35,2007-03-14,0
36,2007-03-15,0
37,2007-03-16,0
38,2007-03-17,0
39,2007-03-18,0
40,2007-03-19,0
41,2007-03-20,0
42,2007-03-21,1
43,2007-03-22,0
44,2007-03-23,0
45,2007-03-24,0
46,2007-03-25,0
47,2007-03-26,0
48,2007-03-27,0
49,2007-03-28,0
50,2007-03-29,0
51,2007-03-30,0
52,2007-03-31,0
53,2007-04-01,0
54,2007-04-02,0
55,2007-04-03,0
56,2007-04-04,1
57,2007-04-05,0
58,2007-04-06,0
59,2007-04-07,0
60,2007-04-08,0
61,2007-04-09,0
62,2007-04-10,0
63,2007-04-11,0
64,2007-04-12,0
65,2007-04-13,0
66,2007-04-14,0
67,2007-04-15,0
68,2007-04-16,0
69,2007-04-17,0
70,2007-04-18,0
71,2007-04-19,0
72,2007-04-20,0
73,2007-04-21,0
74,2007-04-22,0
75,2007-04-23,0
76,2007-04-24,1
77,2007-04-25,0
78,2007-04-26,0
79,2007-04-27,0
80,2007-04-28,0
81,2007-04-29,0
82,2007-04-30,1
83,2007-05-01,0
84,2007-05-02,0
85,2007-05-03,0
86,2007-05-04,0
87,2007-05-05,0
88,2007-05-06,0
89,2007-05-07,0
90,2007-05-08,0
91,2007-05-09,0
92,2007-05-10,0
93,2007-05-11,0
94,2007-05-12,0
95,2007-05-13,0
96,2007-05-14,0
97,2007-05-15,0
98,2007-05-16,0
99,2007-05-17,0
100,2007-05-18,0
101,2007-05-19,0
102,2007-05-20,0
103,2007-05-21,0
104,2007-05-22,0
105,2007-05-23,0
106,2007-05-24,1
107,2007-05-25,1
108,2007-05-26,0
109,2007-05-27,0
110,2007-05-28,0
111,2007-05-29,0
112,2007-05-30,0
113,2007-05-31,0
114,2007-06-01,0
115,2007-06-02,0
116,2007-06-03,0
117,2007-06-04,0
118,2007-06-05,0
119,2007-06-06,0
120,2007-06-07,0
121,2007-06-08,0
122,2007-06-09,0
123,2007-06-10,0
124,2007-06-11,0
125,2007-06-12,0
126,2007-06-13,0
127,2007-06-14,0
128,2007-06-15,0
129,2007-06-16,0
130,2007-06-17,0
131,2007-06-18,0
132,2007-06-19,0
133,2007-06-20,0
134,2007-06-21,0
135,2007-06-22,0
136,2007-06-23,0
137,2007-06-24,0
138,2007-06-25,0
139,2007-06-26,1
140,2007-06-27,3
141,2007-06-28,1
142,2007-06-29,0
143,2007-06-30,1
144,2007-07-01,0
145,2007-07-02,1
146,2007-07-03,1
147,2007-07-04,0
148,2007-07-05,1
149,2007-07-06,1
150,2007-07-07,1
151,2007-07-08,1
152,2007-07-09,0
153,2007-07-10,0
154,2007-07-11,0
155,2007-07-12,1
156,2007-07-13,1
157,2007-07-14,0
158,2007-07-15,0
159,2007-07-16,0
160,2007-07-17,0
161,2007-07-18,2
162,2007-07-19,1
163,2007-07-20,3
164,2007-07-21,1
165,2007-07-22,0
166,2007-07-23,0
167,2007-07-24,0
168,2007-07-25,0
169,2007-07-26,0
170,2007-07-27,0
171,2007-07-28,0
172,2007-07-29,0
173,2007-07-30,2
174,2007-07-31,2
175,2007-08-01,0
176,2007-08-02,0
177,2007-08-03,2
178,2007-08-04,0
179,2007-08-05,0
180,2007-08-06,0
181,2007-08-07,2
182,2007-08-08,0
183,2007-08-09,1
184,2007-08-10,2
185,2007-08-11,2
186,2007-08-12,0
187,2007-08-13,0
188,2007-08-14,1
189,2007-08-15,0
190,2007-08-16,1
191,2007-08-17,0
192,2007-08-18,0
193,2007-08-19,0
194,2007-08-20,0
195,2007-08-21,3
196,2007-08-22,0
197,2007-08-23,1
198,2007-08-24,1
199,2007-08-25,0
200,2007-08-26,0
201,2007-08-27,0
202,2007-08-28,2
203,2007-08-29,1
204,2007-08-30,2
205,2007-08-31,2
206,2007-09-01,0
207,2007-09-02,0
208,2007-09-03,1
209,2007-09-04,1
210,2007-09-05,1
211,2007-09-06,1
212,2007-09-07,1
213,2007-09-08,0
214,2007-09-09,0
215,2007-09-10,0
216,2007-09-11,1
217,2007-09-12,0
218,2007-09-13,0
219,2007-09-14,0
220,2007-09-15,1
221,2007-09-16,0
222,2007-09-17,0
223,2007-09-18,1
224,2007-09-19,0
225,2007-09-20,3
226,2007-09-21,1
227,2007-09-22,3
228,2007-09-23,0
229,2007-09-24,2
230,2007-09-25,0
231,2007-09-26,0
232,2007-09-27,2
233,2007-09-28,1
234,2007-09-29,0
235,2007-09-30,0
236,2007-10-01,0
237,2007-10-02,2
238,2007-10-03,0
239,2007-10-04,0
240,2007-10-05,0
241,2007-10-06,0
242,2007-10-07,0
243,2007-10-08,0
244,2007-10-09,1
245,2007-10-10,1
246,2007-10-11,0
247,2007-10-12,3
248,2007-10-13,0
249,2007-10-14,0
250,2007-10-15,1
251,2007-10-16,2
252,2007-10-17,1
253,2007-10-18,0
254,2007-10-19,2
255,2007-10-20,0
256,2007-10-21,0
257,2007-10-22,0
258,2007-10-23,0
259,2007-10-24,2
260,2007-10-25,4
261,2007-10-26,1
262,2007-10-27,0
263,2007-10-28,0
264,2007-10-29,0
265,2007-10-30,0
266,2007-10-31,0
267,2007-11-01,0
268,2007-11-02,2
269,2007-11-03,0
270,2007-11-04,0
271,2007-11-05,2
272,2007-11-06,0
273,2007-11-07,1
274,2007-11-08,3
275,2007-11-09,0
276,2007-11-10,0
277,2007-11-11,0
278,2007-11-12,2
279,2007-11-13,0
280,2007-11-14,0
281,2007-11-15,0
282,2007-11-16,2
283,2007-11-17,4
284,2007-11-18,0
285,2007-11-19,0
286,2007-11-20,1
287,2007-11-21,0
288,2007-11-22,1
289,2007-11-23,1
290,2007-11-24,2
291,2007-11-25,0
292,2007-11-26,0
293,2007-11-27,1
294,2007-11-28,0
295,2007-11-29,2
296,2007-11-30,2
297,2007-12-01,1
298,2007-12-02,0
299,2007-12-03,2
300,2007-12-04,1
301,2007-12-05,1
302,2007-12-06,1
303,2007-12-07,1
304,2007-12-08,2
305,2007-12-09,0
306,2007-12-10,0
307,2007-12-11,0
308,2007-12-12,1
309,2007-12-13,3
310,2007-12-14,2
311,2007-12-15,1
312,2007-12-16,0
313,2007-12-17,0
314,2007-12-18,2
315,2007-12-19,1
316,2007-12-20,1
317,2007-12-21,3
318,2007-12-22,0
319,2007-12-23,0
320,2007-12-24,0
321,2007-12-25,0
322,2007-12-26,0
323,2007-12-27,0
324,2007-12-28,0
325,2007-12-29,0
326,2007-12-30,0
327,2007-12-31,0
328,2008-01-01,0
329,2008-01-02,1
330,2008-01-03,0
331,2008-01-04,0
332,2008-01-05,0
333,2008-01-06,0
334,2008-01-07,0
335,2008-01-08,0
336,2008-01-09,0
337,2008-01-10,0
338,2008-01-11,0
339,2008-01-12,0
340,2008-01-13,0
341,2008-01-14,1
342,2008-01-15,2
343,2008-01-16,0
344,2008-01-17,3
345,2008-01-18,1
346,2008-01-19,0
347,2008-01-20,0
348,2008-01-21,1
349,2008-01-22,0
