,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_11,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
51,0.5,0.10025706940874037,0.18067297994327527,0.26698045143779847,0.156355455568054,0.41384490116801437,0.6456697561839542,0.025763076793177693,0.49769148061476187,0.3042644944896981,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.6,0.5,0.5,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.80335991708282,0.7692087895163078,0.5280191529078615,0.1474,0.1683,0.9501003728133066,0.675925925925926,0.0325,0.0,0.3448,0.1667,0.0417,0.1389,0.12592275596448058,0.1406,0.038032786885245896,0.01354728396685519,0.1502,0.1746,0.982591295647824,0.6758786848072562,0.0328,0.0,0.3448,0.1667,0.0417,0.1421,0.1286,0.1465,0.03806115810019518,0.01354205491365387,0.1489,0.1683,0.6759776536312853,0.6759591498757935,0.0327,0.0,0.3448,0.1667,0.0417,0.1413,0.12588074455778736,0.1431,0.03782197587218781,0.013527441381087349,0.1306,0.14814814814814814,0.0,0.14814814814814814,0.0,0.9836368434943257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.25,0.0625
61,0.0,0.10025706940874037,0.11013599041501107,0.2291544989177861,0.10573678290213723,0.42190307726864335,0.6333904008501092,0.03568149195761388,0.8442223768262602,0.8516211467816642,0.16923076923076924,1.0,0.0,1.0,0.0,0.0,0.2,0.5,0.5,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.49087713909290737,0.910795693799867,0.45482144409803654,0.0392,0.0402,0.9245770002867795,0.5092592592592592,0.0037,0.0,0.069,0.1667,0.2083,0.0179,0.03327270782069113,0.0307,0.012786885245901639,0.006444824411416546,0.0399,0.0417,0.9736868434217109,0.5092120181405895,0.0038,0.0,0.069,0.1667,0.2083,0.0183,0.034,0.032,0.01268705270006506,0.006460429867064231,0.0396,0.0402,0.51024208566108,0.5092464808170024,0.0038,0.0,0.069,0.1667,0.2083,0.0182,0.03323167525502156,0.0312,0.012716009129442452,0.006570471527956713,0.0272,0.0,0.0,0.0,0.0,0.8387437318553708,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
68,0.0,0.08740359897172237,0.37950283510795524,0.3147696430411928,0.3813273340832396,0.13149988769092544,0.24269437392998405,1.0,0.32452090316868004,0.3216738540169302,0.09230769230769231,0.0,0.0,1.0,1.0,0.0,0.2,0.5,0.5,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.6600596120139731,0.3183971047834776,0.2577961545059264,0.0918,0.0951,0.9400630914826498,0.6111111111111112,0.0139,0.0,0.2069,0.1667,0.2083,0.1,0.07553225633893228,0.0751,0.06327868852459016,0.06760489280547152,0.0935,0.0987,0.9790895447723862,0.6111111111111112,0.014,0.0,0.2069,0.1667,0.2083,0.1023,0.0771,0.0782,0.0634352635003253,0.06771027456826935,0.0926,0.0951,0.6108007448789564,0.611095776980403,0.014,0.0,0.2069,0.1667,0.2083,0.1017,0.0755074140288148,0.0764,0.06325399413107272,0.06763720690543674,0.0778,0.037037037037037035,0.0,0.037037037037037035,0.0,0.8801794668778041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.05141388174807198,0.19407571870494345,0.23338028652901363,0.156355455568054,0.42190307726864335,0.0821772241572702,0.023691792966606156,0.06425906014799823,0.2528350103817282,0.2153846153846154,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.0,0.8276762561709289,0.8625050195306799,0.5466657288298278,0.0093,0.0318,0.9145397189561226,0.4444444444444444,0.0015,0.0,0.0345,0.0417,0.0833,0.0223,0.008130951107307157,0.0115,0.0,0.0,0.0095,0.033,0.970185092546273,0.4444444444444444,0.0015,0.0,0.0345,0.0417,0.0833,0.0228,0.0083,0.012,0.0,0.0,0.0094,0.0318,0.44506517690875114,0.44452111509798514,0.0015,0.0,0.0345,0.0417,0.0833,0.0226,0.008097591755179304,0.0117,0.0,0.0,0.0099,0.0,0.0,0.0,0.0,0.6553180258643442,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.25,0.07969151670951156,0.16905501666316933,0.21053354863091353,0.13385826771653545,0.266312893081761,0.6349253202668398,0.023193101701355173,0.4806780089810891,0.17984347548314966,0.24615384615384617,1.0,0.0,1.0,0.0,0.0,0.4,1.0,1.0,0.47368421052631576,0.0,0.0,0.0,0.0,1.0,1.0,0.502570497514199,0.5364675920814702,0.7243831435748058,0.1485,0.1019,0.9501003728133066,0.675925925925926,0.0469,0.1904761904761905,0.1379,0.3333,0.375,0.0874,0.12945330052423237,0.1628,0.0,0.0,0.1513,0.1058,0.982591295647824,0.6758786848072562,0.0473,0.19044804350396027,0.1379,0.3333,0.375,0.0894,0.1322,0.1697,0.0,0.0,0.1499,0.1019,0.6759776536312853,0.6759591498757935,0.0472,0.1904761904761905,0.1379,0.3333,0.375,0.0889,0.12945630455358081,0.1658,0.0,0.0,0.1537,0.0,0.0,0.0,0.0,0.7748746371074162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.125
108,0.25,0.04884318766066838,0.01842989397395717,0.04394131995739856,0.015748031496062992,0.272868935309973,0.8213589940374284,0.03309832397517626,0.6911643792296502,0.7168183996166747,0.4,1.0,0.0,1.0,0.0,0.0,0.4,1.0,0.5,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.1383693561599566,0.7284972490833604,0.15929921445153214,0.0722,0.1141,0.9231431029538284,0.5000000000000001,0.014,0.0,0.1724,0.1667,0.2083,0.1939,0.06290788488285011,0.0915,0.0,0.0,0.0735,0.1184,0.9731865932966483,0.5,0.0141,0.0,0.1724,0.1667,0.2083,0.1984,0.0643,0.0953,0.0,0.0,0.0729,0.1141,0.5009310986964607,0.5000000000000001,0.0141,0.0,0.1724,0.1667,0.2083,0.1973,0.0629929540435377,0.0931,0.0,0.0,0.0796,0.0,0.0,0.0,0.0,0.6004222750065981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
128,0.25,0.10025706940874037,0.25495213146417023,0.2038341292472601,0.2125984251968504,0.24671495956873313,0.4188558946809139,0.022974099717144425,0.6134969325153374,0.7981153170420061,0.06153846153846154,1.0,1.0,1.0,1.0,0.0,0.4,0.5,0.5,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.7351712609307207,0.8437105476274038,0.31853170751279364,0.1536,0.1054,0.9457986808144536,0.6481481481481483,0.0218,0.1904761904761905,0.1379,0.3333,0.375,0.0665,0.12945330052423237,0.1486,0.06327868852459016,0.0660265684598185,0.1565,0.1093,0.9810905452726363,0.6481009070294785,0.022,0.19044804350396027,0.1379,0.3333,0.375,0.068,0.1322,0.1549,0.0634352635003253,0.06609516710150329,0.1551,0.1054,0.6480446927374295,0.6482197074247861,0.0219,0.1904761904761905,0.1379,0.3333,0.375,0.0677,0.12945630455358081,0.1513,0.06325399413107272,0.06609121360474104,0.1397,0.14814814814814814,0.0,0.14814814814814814,0.0,0.20242808128793877,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
144,0.0,0.12596401028277635,0.04849580205463534,0.06283711821898512,0.043869516310461196,1.0,0.9347659247889486,0.035122113395533415,0.7771804439946872,0.7457275195655646,0.1076923076923077,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.4683689572122609,0.7955439770121361,0.6747403569520816,0.3457,0.1449,0.9856610266704904,0.8981481481481481,0.0033,0.4761904761904762,0.1724,0.6667,0.7083,0.0832,0.29228629506793624,0.3732,0.13081967213114754,0.062212284624490334,0.2143,0.0903,0.9949974987493747,0.8981009070294785,0.0022,0.5714623477952476,0.2069,0.6667,0.7083,0.0,0.3581,0.237,0.0634352635003253,0.037023232699714255,0.4112,0.1724,0.9068901303538174,0.8981507038365996,0.0033,0.5714285714285714,0.2069,0.6667,0.7083,0.0,0.35072037017562313,0.446,0.11379197913270298,0.07459417675856737,0.185,0.0,0.0,0.0,0.0,0.9973607812087623,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0.25,0.17737789203084833,0.489522623326632,0.5488026935101522,0.437570303712036,0.07060029200359388,0.5477891256862861,0.032776417444167684,0.971475554993359,0.315125379332375,0.046153846153846156,1.0,0.0,1.0,0.0,0.0,0.4,1.0,1.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.296090533092205,0.7936737378681423,0.8718648400905687,0.1113,0.0904,0.9744766274734729,0.8333333333333335,0.0284,0.0,0.2069,0.2083,0.25,0.0716,0.09714346849256447,0.0988,0.0,0.006576351440220966,0.1134,0.0938,0.991095547773887,0.8333333333333333,0.0287,0.0,0.2069,0.2083,0.25,0.0732,0.0992,0.103,0.0,0.006584668902969313,0.1124,0.0904,0.8342644320297947,0.8332873309412089,0.0286,0.0,0.2069,0.2083,0.25,0.0728,0.0970659375328636,0.1006,0.0,0.006570471527956713,0.0933,0.037037037037037035,0.0,0.037037037037037035,0.0,0.7983636843494326,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125
178,0.0,0.033419023136246784,0.11071925775000958,0.14687188648778643,0.11333408323959505,0.48455750224618144,0.8599090855422398,0.0323779921475915,0.7541584972487508,0.6684235745088644,0.12307692307692308,1.0,1.0,1.0,0.0,0.0,0.2,0.5,0.5,0.5263157894736842,0.0,0.0,0.0,0.0,1.0,1.0,0.2690800345991942,0.7122766147893791,0.28476396074086224,0.0412,0.0381,0.9644393461428162,0.7685185185185186,0.0072,0.0,0.1034,0.1667,0.2083,0.0145,0.03509147319995721,0.0429,0.012786885245901639,0.0060502433250032885,0.042,0.0395,0.9875937968984493,0.7685657596371882,0.0072,0.0,0.1034,0.1667,0.2083,0.0148,0.0358,0.0447,0.01268705270006506,0.005963473723443906,0.0416,0.0381,0.7690875232774679,0.7685619652221917,0.0072,0.0,0.1034,0.1667,0.2083,0.0147,0.035019455252918295,0.0436,0.012716009129442452,0.0060551404277248136,0.0386,0.0,0.0,0.0,0.0,0.733174980205859,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125
