,house_rules,host_since,host_response_rate,host_listings_count,host_total_listings_count,host_verifications,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,security_deposit_perc,cleaning_fee_perc,guests_included,extra_people_perc,maximum_minimum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_location,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,price,family,pool,luxury,private,studio,len_amenities,PCA
1226,False,2012,207.87734241908007,3.0,3.0,176.9078014184397,-33.87482,151.25834,False,2,1.0,1.0,1.0,0.0,38.0,1,19.0,2,321,54,32,94.0,10.0,2,1,1,3.01,52,False,False,False,False,False,12,-1454.6721218606076
1251,False,2014,207.87734241908007,2.0,2.0,200.42513863216266,-33.94461,151.20537,False,2,1.5,1.0,1.0,481.0,57.99999999999999,1,48.0,4,289,30,9,99.0,9.0,2,0,2,0.48,52,False,False,False,False,False,21,-738.9090829144043
4071,False,2015,207.87734241908007,2.0,2.0,191.8,-33.91369,150.92757,False,2,1.0,1.0,1.0,402.0,31.0,1,40.0,7,344,12,1,96.0,10.0,2,0,2,0.35,52,False,False,False,False,False,29,780.6149308966594
3005,False,2013,154.9,1.0,1.0,194.28571428571428,-33.88501,151.17743000000002,False,2,1.0,1.0,1.0,288.0,87.0,1,0.0,45,77,1,0,100.0,10.0,1,0,1,0.03,52,False,False,False,True,False,20,-1108.7308433058254
2570,False,2014,207.87734241908007,2.0,2.0,200.42513863216266,-33.94328,151.20299,False,2,1.0,1.0,1.0,577.0,57.99999999999999,1,48.0,4,271,44,16,99.0,10.0,2,0,2,0.93,52,False,False,False,False,False,21,-1208.7544874851003
6580,False,2014,207.87734241908007,3.0,3.0,202.7209026128266,-33.70517,151.10362,False,1,1.0,1.0,1.0,0.0,29.0,1,38.0,1,89,2,2,100.0,10.0,3,0,3,0.55,52,False,False,False,False,False,10,780.589830351973
195,False,2012,207.87734241908007,3.0,3.0,200.42513863216266,-33.926520000000004,151.19266000000002,False,2,1.0,1.0,1.0,577.0,57.99999999999999,1,38.0,1,327,23,5,97.0,10.0,3,0,3,0.52,52,False,False,False,False,False,11,780.5997319016229
9539,True,2018,247.71544715447155,1.0,1.0,190.49040307101728,-33.888659999999994,151.2705,False,2,1.0,1.0,1.0,0.0,96.0,1,13.0,7,305,1,1,100.0,10.0,1,0,1,0.11,52,False,False,False,False,False,6,780.6091589606662
4711,False,2016,207.87734241908007,1.0,1.0,246.8955223880597,-33.94013,151.10109,False,1,1.0,1.0,1.0,577.0,48.0,1,0.0,1,48,56,19,98.0,10.0,1,0,1,1.66,52,False,False,False,False,False,32,-1440.6699752292134
7806,False,2016,207.87734241908007,3.0,3.0,190.49040307101728,-34.06072,150.80488,False,2,1.5,1.0,1.0,0.0,56.99999999999999,1,28.000000000000004,4,62,3,3,100.0,10.0,3,0,3,0.41,53,False,False,False,False,False,29,780.5946634747809
6637,False,2017,207.87734241908007,1.0,1.0,202.7209026128266,-33.76787,151.11052,False,1,1.5,1.0,1.0,0.0,0.0,1,0.0,1,7,89,54,100.0,10.0,1,0,1,3.93,53,False,False,False,False,False,18,-1440.659298844547
3273,False,2016,207.87734241908007,3.0,3.0,100.75,-33.86281,151.08115,False,2,1.0,1.0,1.0,283.0,85.0,1,13.0,2,89,19,9,99.0,9.0,3,1,2,1.2,53,False,False,False,True,False,37,-1408.6973544393334
6877,True,2017,207.87734241908007,8.0,8.0,169.98529411764707,-33.86521,151.17315,False,2,1.0,1.0,1.0,283.0,94.0,1,38.0,2,180,8,0,88.0,9.0,8,0,8,0.43,53,False,False,False,False,False,17,-1412.7128981749004
8263,False,2016,207.87734241908007,2.0,2.0,190.49040307101728,-33.88927,151.27431,False,2,1.0,1.0,1.0,0.0,30.0,1,28.000000000000004,14,20,13,13,100.0,10.0,2,1,1,1.27,53,False,False,False,False,False,20,-1440.6779928000367
2874,False,2013,89.3125,1.0,1.0,247.59587955625992,-33.89728,151.2002,False,2,1.0,1.0,2.0,0.0,38.0,1,25.0,2,178,76,45,97.0,9.0,1,0,1,4.12,53,False,False,False,False,False,34,-738.8969509560111
5228,True,2012,207.87734241908007,4.0,4.0,237.06749555950267,-33.83205,151.16659,False,2,1.5,1.0,2.0,0.0,0.0,1,28.000000000000004,1,222,88,13,98.0,9.0,4,1,3,2.14,53,False,False,False,False,False,16,-1286.7260843096844
702,False,2017,154.9,2.0,2.0,237.06749555950267,-33.92006,151.25327,True,4,1.0,2.0,2.0,0.0,38.0,1,0.0,5,7,19,0,93.0,10.0,2,2,0,1.05,53,False,False,False,False,False,33,780.606922319521
5272,False,2013,207.87734241908007,2.0,2.0,241.26315789473685,-33.83,151.23145,False,1,1.0,1.0,1.0,283.0,85.0,1,0.0,5,210,18,4,97.0,10.0,2,1,1,0.3,53,False,False,False,False,False,35,-1148.7618584966854
5428,False,2013,207.87734241908007,3.0,3.0,247.59587955625992,-33.814609999999995,150.96065,False,2,2.5,1.0,1.0,0.0,47.0,1,38.0,2,346,38,5,94.0,9.0,3,0,3,0.57,53,False,False,False,False,False,24,780.5989189547414
9483,False,2013,207.87734241908007,2.0,2.0,227.12709030100334,-33.88035,151.10411000000002,False,2,1.0,1.0,1.0,0.0,38.0,2,0.0,2,59,21,21,97.0,10.0,2,0,2,2.54,53,False,False,False,False,False,33,780.5992225685615
3242,False,2015,1093.4878048780488,3.0,3.0,247.59587955625992,-33.90418,151.24942,False,2,1.0,1.0,1.0,0.0,45.0,2,27.0,1,137,122,35,87.0,9.0,3,0,3,3.7,55,False,False,False,False,False,28,780.5981697616031
218,True,2017,207.87734241908007,2.0,2.0,190.49040307101728,-33.68882,150.94548,False,2,1.5,1.0,1.0,0.0,36.0,1,36.0,1,144,3,3,100.0,9.0,2,0,2,0.47,55,False,False,False,False,False,29,780.590721160379
