,name,type,nunique,values,empty,maxitem,maxratio,mean,maxvalue,minvalue
0,SK_ID_CURR,int64,100044,"[100002, 100003, 100004]",0.0,100002,9.995601935148535e-06,158031.6978929271,216144.0,100002.0
1,TARGET,int64,2,"[1, 0]",0.0,0,0.919045619927232,0.08095438007276798,1.0,0.0
2,NAME_CONTRACT_TYPE,object,2,"['Cash loans', 'Revolving loans']",0.0,Cash loans,0.9051717244412458,,,
3,CODE_GENDER,object,3,"['M', 'F', 'XNA']",0.0,F,0.6585502378953261,,,
4,FLAG_OWN_CAR,object,2,"['N', 'Y']",0.0,N,0.6601395386030147,,,
5,FLAG_OWN_REALTY,object,2,"['Y', 'N']",0.0,Y,0.6933449282315781,,,
6,CNT_CHILDREN,int64,12,"[0, 1, 2]",0.0,0,0.6996721442565271,0.4173563632001919,12.0,0.0
7,AMT_INCOME_TOTAL,float64,1213,"[202500.0, 270000.0, 67500.0]",0.0,135000.0,0.1169785294470433,169431.47143082044,117000000.0,25650.0
8,AMT_CREDIT,float64,4163,"[406597.5, 1293502.5, 135000.0]",0.0,450000.0,0.03142617248410699,599016.1341759625,4050000.0,45000.0
9,AMT_ANNUITY,float64,10774,"[24700.5, 35698.5, 6750.0]",6.996921354603975e-05,9000.0,0.021002229175205174,27086.31788738167,258025.5,1980.0
10,AMT_GOODS_PRICE,float64,623,"[351000.0, 1129500.0, 135000.0]",0.0008096437567470313,450000.0,0.08464131728739634,538352.8549563339,4050000.0,45000.0
11,NAME_TYPE_SUITE,object,7,"['Unaccompanied', 'Family', 'Spouse, partner']",0.004048218783735157,Unaccompanied,0.8111984263190116,,,
12,NAME_INCOME_TYPE,object,8,"['Working', 'State servant', 'Commercial associate']",0.0,Working,0.5190016392787173,,,
13,NAME_EDUCATION_TYPE,object,5,"['Secondary / secondary special', 'Higher education', 'Incomplete higher']",0.0,Secondary / secondary special,0.7107072887929311,,,
14,NAME_FAMILY_STATUS,object,6,"['Single / not married', 'Married', 'Civil marriage']",0.0,Married,0.6405981368197993,,,
15,NAME_HOUSING_TYPE,object,6,"['House / apartment', 'Rented apartment', 'With parents']",0.0,House / apartment,0.8878393506856983,,,
