gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CLTV,City,Zip Code,Lat Long,Latitude,Longitude,Age,Under 30,Married,Referred a Friend,Number of Referrals,Offer,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Streaming Music,Premium Tech Support,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score
Male,0,,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,3239,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,37,No,No,No,0,None,10.47,21,No,No,Yes,0,0,20.94,129.09,1
Female,0,,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,2701,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,19,Yes,No,No,0,None,9.12,51,No,No,Yes,0,0,18.24,169.89,2
Female,0,,No,8,Yes,Yes,,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,5372,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,31,No,No,No,0,None,12.15,26,Yes,No,Yes,0,0,97.2,917.7,3
Female,0,,No,32.4,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,5003,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,23,Yes,Yes,No,0,Offer C,4.89,47,Yes,Yes,Yes,0,0,136.92,3182.97,3
Male,0,,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,5340,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,38,No,No,No,0,None,44.33,11,Yes,No,Yes,0,0,2172.17,7208.47,1
Female,0,,Yes,10,Yes,No,,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,5925,Los Angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,21,Yes,Yes,Yes,6,None,9.41,69,No,Yes,Yes,0,0,94.1,622.45,1
Male,1,,No,1,No,,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,5433,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,78,No,No,No,0,None,0,8,No,No,No,0,20,0,59.65,3
Male,0,,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,4832,Los Angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,29,Yes,No,No,0,None,33.58,0,No,No,No,0,0,33.58,53.73,1
Male,0,,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,5789,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,61,No,Yes,Yes,1,None,31.35,16,Yes,No,Yes,0,0,1473.45,6222.6,1
Male,0,,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,2915,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,27,Yes,Yes,Yes,1,None,0,58,No,No,Yes,0,0,0,30.2,1
