main_category,sub_category,ratings,no_of_ratings,discount_price,actual_price,Unnamed: 0
bags & luggage,Rucksacks,3.7,63,"₹1,989","₹6,999",
bags & luggage,Rucksacks,1.9,6,₹699,"₹1,450",
bags & luggage,Rucksacks,4.7,17,"₹7,989","₹7,999",
bags & luggage,Rucksacks,4.6,5,₹724,"₹1,099",
bags & luggage,Rucksacks,,,₹370,₹725,
bags & luggage,Rucksacks,,,₹599,"₹1,899",
bags & luggage,Rucksacks,3.4,7,₹279,₹599,
bags & luggage,Rucksacks,,,₹230,₹500,
bags & luggage,Rucksacks,3.3,4,"₹1,599","₹2,999",
bags & luggage,Rucksacks,3.7,6,₹825,"₹1,499",
bags & luggage,Rucksacks,,,₹429,₹899,
bags & luggage,Rucksacks,,,"₹1,199","₹2,999",
bags & luggage,Rucksacks,,,"₹1,729","₹2,939",
bags & luggage,Rucksacks,3.7,10,"₹1,111","₹3,200",
bags & luggage,Rucksacks,,,"₹1,799","₹6,999",
bags & luggage,Rucksacks,2.0,1,₹499,₹799,
bags & luggage,Rucksacks,,,₹449,₹599,
bags & luggage,Rucksacks,5.0,4,"₹1,499","₹4,299",
bags & luggage,Rucksacks,,,₹428,₹999,
bags & luggage,Rucksacks,3.0,7,₹325,"₹1,250",
bags & luggage,Rucksacks,,,"₹1,199","₹2,599",
bags & luggage,Rucksacks,3.2,12,"₹1,999","₹6,999",
bags & luggage,Rucksacks,2.4,3,"₹1,449","₹2,555",
bags & luggage,Rucksacks,,,₹899,"₹2,299",
bags & luggage,Rucksacks,,,₹299,₹399,
bags & luggage,Rucksacks,3.2,7,₹688,"₹1,599",
bags & luggage,Rucksacks,,,"₹1,042","₹2,247",
bags & luggage,Rucksacks,,,"₹1,699","₹4,399",
bags & luggage,Rucksacks,5.0,1,"₹1,519","₹3,038",
bags & luggage,Rucksacks,4.0,1,₹619,₹999,
bags & luggage,Rucksacks,3.8,3,"₹2,587.23","₹6,799",
bags & luggage,Rucksacks,,,₹499,"₹1,500",
bags & luggage,Rucksacks,,,₹798,"₹1,606",
bags & luggage,Rucksacks,4.0,1,"₹1,483","₹2,996",
bags & luggage,Rucksacks,3.8,8,₹749,"₹2,999",
bags & luggage,Rucksacks,3.0,24,₹649,"₹1,299",
bags & luggage,Rucksacks,,,"₹1,199","₹2,999",
bags & luggage,Rucksacks,2.6,4,₹990,"₹3,699",
bags & luggage,Rucksacks,3.8,10,"₹1,590","₹1,999",
bags & luggage,Rucksacks,4.9,13,"₹8,100","₹8,999",
bags & luggage,Rucksacks,,,"₹3,749","₹7,498",
bags & luggage,Rucksacks,,,₹806,"₹1,999",
bags & luggage,Rucksacks,2.6,5,"₹1,999","₹2,299",
bags & luggage,Rucksacks,5.0,1,₹898,"₹2,999",
bags & luggage,Rucksacks,,,,"₹5,999",
bags & luggage,Rucksacks,1.0,1,₹799,"₹2,999",
bags & luggage,Rucksacks,4.8,15,,"₹7,370",
bags & luggage,Rucksacks,4.8,"3,751",,"₹8,378",
bags & luggage,Rucksacks,,,"₹2,223","₹6,756",
bags & luggage,Rucksacks,,,"₹2,337","₹4,673",
bags & luggage,Rucksacks,,,"₹2,337","₹2,804",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,₹449,₹999,
bags & luggage,Rucksacks,,,₹799,"₹2,099",
bags & luggage,Rucksacks,,,"₹1,549","₹3,999",
bags & luggage,Rucksacks,,,"₹5,799","₹19,999",
bags & luggage,Rucksacks,,,"₹16,499","₹19,999",
bags & luggage,Rucksacks,,,₹906,"₹1,510",
bags & luggage,Rucksacks,,,"₹1,302","₹2,170",
bags & luggage,Rucksacks,,,"₹1,588","₹3,018",
bags & luggage,Rucksacks,,,"₹3,944","₹7,068",
bags & luggage,Rucksacks,,,"₹2,822","₹5,058",
bags & luggage,Rucksacks,,,"₹6,671","₹11,955",
bags & luggage,Rucksacks,,,"₹3,160","₹5,663",
bags & luggage,Rucksacks,,,"₹6,055","₹10,852",
bags & luggage,Rucksacks,,,"₹6,607","₹11,842",
bags & luggage,Rucksacks,,,"₹4,096","₹7,340",
bags & luggage,Rucksacks,,,"₹1,015","₹1,820",
bags & luggage,Rucksacks,,,"₹4,641","₹8,318",
bags & luggage,Rucksacks,,,"₹3,160","₹5,663",
bags & luggage,Rucksacks,,,"₹2,673","₹4,790",
bags & luggage,Rucksacks,,,"₹1,098","₹1,968",
bags & luggage,Rucksacks,,,,"₹62,358.36",
bags & luggage,Rucksacks,,,₹669,"₹1,299",
bags & luggage,Rucksacks,,,₹571,"₹1,090",
bags & luggage,Rucksacks,,,₹742,"₹1,415",
bags & luggage,Rucksacks,,,"₹1,753","₹3,410",
bags & luggage,Rucksacks,,,₹650,"₹1,240",
bags & luggage,Rucksacks,,,₹522,₹995,
bags & luggage,Rucksacks,,,"₹1,102","₹2,105",
bags & luggage,Rucksacks,,,₹832,"₹1,588",
bags & luggage,Rucksacks,,,₹769,"₹1,466",
bags & luggage,Rucksacks,,,₹925,"₹1,767",
bags & luggage,Rucksacks,,,₹634,"₹1,210",
bags & luggage,Rucksacks,,,"₹1,262","₹2,411",
bags & luggage,Rucksacks,,,₹853,"₹1,628",
bags & luggage,Rucksacks,,,₹651,"₹1,240",
bags & luggage,Rucksacks,5.0,1,"₹1,099","₹2,499",
bags & luggage,Rucksacks,,,"₹1,620","₹3,078",
bags & luggage,Rucksacks,,,₹600,"₹1,080",
bags & luggage,Rucksacks,,,"₹1,750","₹3,325",
bags & luggage,Rucksacks,,,₹462,₹832,
bags & luggage,Rucksacks,,,₹834,"₹1,585",
bags & luggage,Rucksacks,,,"₹1,097","₹1,975",
bags & luggage,Rucksacks,,,"₹1,020","₹1,836",
bags & luggage,Rucksacks,,,₹622,"₹1,120",
bags & luggage,Rucksacks,,,"₹1,253","₹2,088",
bags & luggage,Rucksacks,,,"₹1,416","₹2,360",
bags & luggage,Rucksacks,,,₹748,"₹1,246",
bags & luggage,Rucksacks,,,₹779,"₹1,298",
bags & luggage,Rucksacks,,,"₹14,433","₹24,055",
bags & luggage,Rucksacks,,,"₹2,480","₹4,133",
bags & luggage,Rucksacks,,,₹411,₹685,
bags & luggage,Rucksacks,,,"₹1,945","₹3,241",
bags & luggage,Rucksacks,,,₹864,"₹1,440",
bags & luggage,Rucksacks,,,"₹4,136","₹6,893",
bags & luggage,Rucksacks,,,"₹1,635","₹2,725",
bags & luggage,Rucksacks,,,"₹1,634","₹2,723",
bags & luggage,Rucksacks,,,"₹1,018","₹1,696",
bags & luggage,Rucksacks,,,"₹5,998","₹9,996",
bags & luggage,Rucksacks,,,₹976,"₹1,626",
bags & luggage,Rucksacks,,,"₹2,569","₹4,281",
bags & luggage,Rucksacks,,,"₹2,173","₹3,621",
bags & luggage,Rucksacks,,,"₹4,431","₹7,385",
bags & luggage,Rucksacks,,,₹446,₹743,
bags & luggage,Rucksacks,,,"₹4,218","₹7,030",
bags & luggage,Rucksacks,,,"₹1,470","₹2,450",
bags & luggage,Rucksacks,,,₹756,"₹1,260",
bags & luggage,Rucksacks,,,₹329,₹548,
bags & luggage,Rucksacks,,,₹894,"₹1,490",
bags & luggage,Rucksacks,,,₹411,₹685,
bags & luggage,Rucksacks,,,"₹1,980","₹3,300",
