mou_Mean,totmrc_Mean,da_Mean,ovrmou_Mean,ovrrev_Mean,vceovr_Mean,datovr_Mean,roam_Mean,change_mou,change_rev,drop_vce_Mean,drop_dat_Mean,blck_vce_Mean,blck_dat_Mean,unan_vce_Mean,unan_dat_Mean,plcd_vce_Mean,plcd_dat_Mean,recv_vce_Mean,recv_sms_Mean,comp_vce_Mean,comp_dat_Mean,custcare_Mean,ccrndmou_Mean,cc_mou_Mean,inonemin_Mean,threeway_Mean,mou_cvce_Mean,mou_cdat_Mean,mou_rvce_Mean,owylis_vce_Mean,mouowylisv_Mean,iwylis_vce_Mean,mouiwylisv_Mean,peak_vce_Mean,peak_dat_Mean,mou_peav_Mean,mou_pead_Mean,opk_vce_Mean,opk_dat_Mean,mou_opkv_Mean,mou_opkd_Mean,drop_blk_Mean,attempt_Mean,complete_Mean,callfwdv_Mean,callwait_Mean,churn,months,uniqsubs,actvsubs,new_cell,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID
219.25,22.5,0.2475,0,0,0,0,0,-157.25,-18.9975,0.666666667,0,0.666666667,0,6.333333333,0,52.33333333,0,42.33333333,0,45,0,0,0,0,18,0,90.64333333,0,97.17666667,0,0,0,0,58,0,132.6,0,24,0,55.22,0,1.333333333,52.33333333,45,0,0.333333333,1,61,2,1,U,A,N,1652,4228,1504.62,1453.44,4085,1602,29.66,83.37,32.69,272,116,30,322,136,38,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,2,2,WCMB,0,0,O,15,S,S,1,M,4,3,C,A,0,N,U,U,U,U,U,Y,361,1000001
482.75,37.425,0.2475,22.75,9.1,9.1,0,0,532.25,50.9875,8.333333333,0,1,0,61.33333333,0,263.3333333,0,69,0,193.3333333,0,1.666666667,6.333333333,5.463333333,53,0.333333333,189.3966667,0,55.28,46.33333333,24.21666667,6.333333333,3.696666667,83.66666667,0,75.33333333,0,157,0,169.3433333,0,9.333333333,263.3333333,193.3333333,0,5.666666667,0,56,1,1,N,EA,N,14654,26400,2851.68,2833.88,26367,14624,51.53,479.4,265.89,305,158,40,477,275,48,U,CHICAGO AREA,N,N,,7,6,WC,1,1,,1,S,S,1,M,5,1,C,A,0,Z,U,U,U,U,U,Y,240,1000002
10.25,16.99,0,0,0,0,0,0,-4.25,0,0.333333333,0,0,0,2.666666667,0,9,0,0.333333333,0,6,0,0,0,0,0.333333333,0,5.426666667,0,0,0,0,0,0,5,0,5.193333333,0,1,0,0.233333333,0,0.333333333,9,6,0,0,1,58,1,1,Y,C,N,7903,24385.05333,2155.91,1934.47,24303.05,7888,34.54,433.98,140.86,12,7,17,11,6,17,S,GREAT LAKES AREA,N,N,29.98999023,2,1,NA,0,0,O,7,S,M,2,M,5,2,C,A,0,N,U,Y,U,U,U,Y,1504,1000003
7.5,38,0,0,0,0,0,0,-1.5,0,0,0,0,0,0,0,3.666666667,0,1.333333333,0,3.666666667,0,0,0,0,1.333333333,0,8.41,0,0.413333333,0.333333333,0.256666667,0,0,1.333333333,0,3.38,0,3.666666667,0,5.45,0,0,3.666666667,3.666666667,0,0,0,60,1,1,Y,B,N,1502,3065,2000.9,1941.81,3035,1479,40.45,63.23,30.81,8,3,38,50,25,40,T,CHICAGO AREA,N,N,29.98999023,1,1,NA,0,0,,6,M,M,4,M,6,1,C,D,0,U,Y,U,U,U,U,Y,1812,1000004
570.5,71.98,0,0,0,0,0,0,38.5,0,9.666666667,0,0.666666667,0,77,0,222.3333333,0,94.66666667,0,137,0,8.666666667,15,11.07666667,66,0,285.2333333,0,106.33,14.66666667,10.81666667,0.666666667,0.366666667,97.33333333,0,173.4766667,0,90.33333333,0,218.0866667,0,10.33333333,222.3333333,137,0,0,0,57,1,1,Y,A,N,4485,14028,2181.12,2166.48,13965,4452,38.69,249.38,79.5,558,191,55,586,196,80,U,NEW ENGLAND AREA,Y,N,149.9899902,6,4,WCMB,0,0,R,5,M,S,1,M,6,1,C,O,0,I,U,U,U,U,U,Y,434,1000005
1312.25,75,1.2375,0,0,0,0,0,156.75,8.145,52,0,7.666666667,0,76,0,702,0,365,0,577.3333333,0,4.333333333,11,7.753333333,301.6666667,1.333333333,369.5366667,0,200.32,370.3333333,243.2133333,147,85.14666667,555.6666667,0,382.0966667,0,303.6666667,0,187.76,0,59.66666667,702,577.3333333,0,22.66666667,0,59,2,2,Y,C,N,26812,40869,4033.98,3932.9,40295,26362,83.68,857.34,560.89,1260,960,80,1187,853,78,U,GREAT LAKES AREA,N,N,129.9899902,9,4,WCMB,0,0,O,1,,S,1,M,6,1,C,,0,U,U,U,U,U,U,Y,458,1000006
0,16.99,0,0,0,0,0,0,0,-0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,2,2,N,A,N,6279,17390.03333,3091.7,3065.24,17371.03,6271,58.95,334.06,120.6,0,0,17,0,0,17,C,DALLAS AREA,Y,N,29.98999023,4,3,NA,0,0,O,8,S,M,3,M,9,,I,A,0,N,U,U,U,U,U,Y,852,1000007
682.5,52.49,0.2475,0,0,0,0,0,147.5,-3.0625,9,0,1.666666667,0,13,0,97,0,13,0,73.33333333,0,0.666666667,5.333333333,5.276666667,5,0,470.0233333,0,42.19666667,6.666666667,6.23,0,0,33.33333333,0,81.06666667,0,53,0,431.1533333,0,10.66666667,97,73.33333333,0,0.666666667,0,53,1,1,Y,B,N,4491,12492,1427.71,1423.06,12439,4470,34.71,303.39,109.02,633,96,39,719,112,58,,DALLAS AREA,Y,N,79.98999023,3,2,WCMB,0,0,R,0,S,M,2,M,1,2,C,A,1,S,U,U,U,U,U,Y,231,1000008
1039,50,4.95,419.5,41.95,41.95,0,0,198,23.2625,12.66666667,0,3,0,176,0,533.6666667,0,96,0,346.6666667,0,11.33333333,13.66666667,6.25,45,0.333333333,460.92,0,213.8533333,103.3333333,54.71333333,0.333333333,0.056666667,238.3333333,0,377.4533333,0,192.3333333,0,297.32,0,15.66666667,533.6666667,346.6666667,0,4,0,55,1,1,Y,B,N,16730,43231.05333,4404.44,4313.71,42943.05,16579,81.39,810.25,312.81,973,465,90,915,434,90,S,CHICAGO AREA,Y,N,29.98999023,3,3,NA,0,0,,3,M,M,3,M,4,1,C,E,0,F,U,U,U,U,U,N,700,1000009
25.5,29.99,0.2475,0,0,0,0,0,59.5,4.0275,0,0,1,0,2.333333333,0,6.666666667,0,0,0,3.333333333,0,0,0,0,0,0,3.8,0,0,0,0,0,0,1.666666667,0,1.866666667,0,1.666666667,0,1.933333333,0,1,6.666666667,3.333333333,0,0,0,57,2,2,N,A,N,391,994,1458.42,1457.84,976,377,26.51,17.75,6.85,6,3,30,54,7,34,C,DALLAS AREA,Y,N,79.98999023,2,2,WCMB,0,0,O,8,S,M,2,M,9,2,I,A,1,N,U,U,U,U,U,Y,601,1000010
