,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,tenure,MonthlyCharges,TotalCharges,Age,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score
,2,53.85,108.15,37,10.47,21,0,0,20.94,129.09,1
,2,70.7,151.65,19,9.12,51,0,0,18.24,169.89,2
,8,99.65,820.5,31,12.15,26,0,0,97.2,917.7,3
,32.4,104.8,3046.05,23,4.89,47,0,0,136.92,3182.97,3
,49,103.7,5036.3,38,44.33,11,0,0,2172.17,7208.47,1
,10,55.2,528.35,21,9.41,69,0,0,94.1,622.45,1
,1,39.65,39.65,78,0,8,0,20,0,59.65,3
,1,20.15,20.15,29,33.58,0,0,0,33.58,53.73,1
,47,99.35,4749.15,61,31.35,16,0,0,1473.45,6222.6,1
,1,30.2,30.2,27,0,58,0,0,0,30.2,1
,17,64.7,1093.1,20,40.55,41,0,0,689.35,1782.45,1
,5,69.7,316.9,56,12.6,58,0,0,63,379.9,1
,34,106.35,3549.25,51,21.69,28,0,0,737.46,4286.71,2
,11,97.85,1105.4,48,27.57,18,0,0,303.27,1408.67,3
,32.4,80.65,144.15,32,5.85,19,0,20,11.7,175.85,1
,15,99.1,1426.4,34,3.96,20,0,0,59.4,1485.8,1
,8,80.65,633.3,74,48.85,17,0,0,390.8,1024.1,3
,18,95.45,1752.55,71,11.33,52,45.61,0,203.94,1910.88,2
,9,94.4,857.25,41,27.21,29,0,0,244.89,1102.14,3
,1,79.35,79.35,32,13.13,57,0,0,13.13,92.48,1
,7,75.15,496.9,34,8.69,53,0,0,60.83,557.73,1
,12,78.95,927.35,34,25.34,56,0,80,304.08,1311.43,1
,5,21.05,113.85,30,34.26,0,0,0,171.3,285.15,3
,25,98.5,2514.5,78,19.76,12,13.43,0,494,2995.07,2
,68,110,7611.85,26,14.79,47,0,0,1005.72,8617.57,2
,55,96.75,5238.9,37,49.06,27,0,0,2698.3,7937.2,1
,37,76.5,2868.15,80,6.33,14,0,0,234.21,3102.36,2
,,100.25,1064.65,62,24.48,30,0,0,244.8,1309.45,2
,,74.4,229.55,21,14.6,71,8.74,0,43.8,264.61,1
,,78.05,2135.5,72,3.33,18,0,10,89.91,2235.41,1
,,58.6,1502.65,27,0,48,4.48,0,0,1498.17,1
,,35.45,35.45,64,0,22,0,0,0,35.45,3
,,44.35,81.25,45,46.84,3,0,0,93.68,174.93,3
,1,70.45,70.45,76,15.28,30,0,0,15.28,85.73,2
,8,71.15,563.65,53,48.14,18,0,0,385.12,948.77,1
,1,45.65,45.65,63,14.12,24,0,0,14.12,59.77,1
,7,95,655.5,32,20.52,28,36.6,10,143.64,772.54,1
,20,82.4,1592.35,26,36.6,51,33.43,0,732,2290.92,1
,4,70.9,273,42,33.5,27,8.74,0,134,398.26,1
,58,45.3,2651.2,66,0,24,40.95,0,0,2610.25,1
,2,104.4,242.8,26,11.51,53,45.44,0,23.02,220.38,3
,53,94.85,5000.2,24,40.62,73,18.55,0,2152.86,7134.51,1
,15,74.45,1145.7,70,44.07,19,0,0,661.05,1806.75,2
