,Time,Length,Airline,DayOfWeek,Weekend,HH_C,HH_A,PRED,PROB,REAL,CERT,CORRECT,TP,TN,FP,FN
254864,835,245,0.7034216453931138,4,0,3.707960992250362e-05,1.0,1,0.8431235112407073,1,0.3431235112407073,1,1,0,0,0
96326,1155,295,0.7034216453931138,3,0,3.707960992250362e-05,1.0,1,0.8427373486833923,1,0.34273734868339234,1,1,0,0,0
523129,855,70,0.7034216453931138,1,0,3.707960992250362e-05,1.0,1,0.8421325353178142,1,0.3421325353178142,1,1,0,0,0
315451,1150,65,0.7034216453931138,1,0,1.853980496125181e-05,1.0,1,0.8413479468585456,1,0.34134794685854564,1,1,0,0,0
203240,1145,295,0.7034216453931138,4,0,3.707960992250362e-05,1.0,1,0.8405907284027069,1,0.3405907284027069,1,1,0,0,0
203893,825,310,0.7034216453931138,3,0,5.561941488375542e-05,1.0,1,0.8383903819849209,1,0.3383903819849209,1,1,0,0,0
316149,860,120,0.7034216453931138,1,0,1.853980496125181e-05,1.0,1,0.837182809227415,1,0.33718280922741495,1,1,0,0,0
376536,985,260,0.7034216453931138,1,0,9.269902480625904e-05,1.0,1,0.8362822226577507,1,0.33628222265775065,1,1,0,0,0
429999,835,245,0.7034216453931138,5,0,3.707960992250362e-05,1.0,1,0.8344941649698724,1,0.3344941649698724,1,1,0,0,0
466381,765,285,0.7034216453931138,2,0,5.561941488375542e-05,1.0,1,0.8342300905147194,1,0.3342300905147194,1,1,0,0,0
45500,765,290,0.7034216453931138,3,0,5.561941488375542e-05,1.0,1,0.8339769383525948,1,0.3339769383525948,1,1,0,0,0
211308,895,55,0.7034216453931138,3,0,1.853980496125181e-05,1.0,1,0.8334909841610699,1,0.3334909841610699,1,1,0,0,0
322414,970,255,0.7034216453931138,2,0,7.415921984500724e-05,1.0,1,0.8330406345279665,1,0.3330406345279665,1,1,0,0,0
88436,970,75,0.7034216453931138,2,0,3.707960992250362e-05,1.0,1,0.8327658798029204,1,0.3327658798029204,1,1,0,0,0
370802,1020,195,0.7034216453931138,5,0,3.707960992250362e-05,1.0,1,0.8322323578146704,1,0.3322323578146704,1,1,0,0,0
86394,830,280,0.7034216453931138,4,0,9.269902480625904e-05,1.0,1,0.8319372024873255,1,0.3319372024873255,1,1,0,0,0
373018,765,285,0.7034216453931138,4,0,5.561941488375542e-05,1.0,1,0.8318303180719094,1,0.33183031807190944,1,1,0,0,0
267853,765,290,0.7034216453931138,4,0,5.561941488375542e-05,1.0,1,0.8318303180719094,1,0.33183031807190944,1,1,0,0,0
367828,900,245,0.7034216453931138,4,0,7.415921984500724e-05,1.0,1,0.8318135843445081,1,0.33181358434450814,1,1,0,0,0
475560,700,205,0.7034216453931138,3,0,5.561941488375542e-05,1.0,1,0.8299791869721517,1,0.3299791869721517,1,1,0,0,0
259166,1195,95,0.7034216453931138,1,0,5.561941488375542e-05,1.0,1,0.829712893445095,1,0.329712893445095,1,1,0,0,0
92908,735,225,0.7034216453931138,5,0,3.707960992250362e-05,1.0,1,0.8285506362911887,1,0.32855063629118875,1,1,0,0,0
312744,610,280,0.7034216453931138,2,0,3.707960992250362e-05,1.0,1,0.8285359160425732,1,0.32853591604257315,1,1,0,0,0
45777,775,245,0.7034216453931138,3,0,7.415921984500724e-05,1.0,1,0.8283981565607493,1,0.32839815656074933,1,1,0,0,0
149984,775,245,0.7034216453931138,3,0,7.415921984500724e-05,1.0,1,0.8283981565607493,1,0.32839815656074933,1,1,0,0,0
416392,770,185,0.7034216453931138,1,0,3.707960992250362e-05,1.0,1,0.8268826474759922,1,0.32688264747599216,1,1,0,0,0
95990,1080,75,0.7034216453931138,2,0,5.561941488375542e-05,1.0,1,0.8265907129430617,1,0.32659071294306175,1,1,0,0,0
50126,1080,75,0.7034216453931138,3,0,5.561941488375542e-05,1.0,1,0.8263375607809372,1,0.32633756078093723,1,1,0,0,0
253566,1145,245,0.7034216453931138,1,0,0.00012977863472876265,1.0,1,0.825693415353193,1,0.32569341535319296,1,1,0,0,0
364214,885,240,0.7034216453931138,3,0,0.00014831843969001447,1.0,1,0.8243942715318698,1,0.32439427153186984,1,1,0,0,0
213560,1110,185,0.7034216453931138,5,0,3.707960992250362e-05,1.0,1,0.8227354196517132,1,0.32273541965171315,1,1,0,0,0
199881,835,140,0.7034216453931138,3,0,5.561941488375542e-05,1.0,1,0.8217922898506831,1,0.3217922898506831,1,1,0,0,0
315097,625,265,0.7034216453931138,1,0,7.415921984500724e-05,1.0,1,0.8213207852088591,1,0.3213207852088591,1,1,0,0,0
249342,665,80,0.7034216453931138,3,0,3.707960992250362e-05,1.0,1,0.8211875684278354,1,0.32118756842783536,1,1,0,0,0
315630,790,240,0.7034216453931138,3,0,0.00012977863472876265,1.0,1,0.8211355524017189,1,0.32113555240171887,1,1,0,0,0
362425,850,215,0.7034216453931138,1,0,0.0001853980496125181,1.0,1,0.8207854405934679,1,0.3207854405934679,1,1,0,0,0
521025,1005,270,0.7034216453931138,1,0,0.00020393785457376988,0.9090909090909091,1,0.8201622794414335,1,0.3201622794414335,1,1,0,0,0
