,ID,approv_in_adv,open_credit,business_or_commercial,loan_amount,term,property_value,income,Credit_Score,LTV,dtir1,tahmin,real,prob,correct,
65737,90864,1,0,0,376500,360,628000,0,519,59.9522293,18,1,1,0.852986044936714,TRUE,1
97761,123007,0,0,0,326500,360,778000,0,526,41.96658098,13,1,1,0.835414332932845,TRUE,1
60473,85583,1,0,0,136500,180,208000,0,527,65.625,16,1,1,0.837059494393963,TRUE,1
114578,139911,1,0,0,306500,360,618000,0,528,49.59546926,20,1,1,0.7870712512347,TRUE,1
136910,162317,0,0,1,116500,360,128000,0,614,91.015625,5,1,1,0.926000659135843,TRUE,1
148388,103775,0,1,0,106500,360,2358000,0,623,4.51653944,6,1,1,0.761774856723866,TRUE,1
50429,75490,0,0,0,416500,360,548000,0,696,76.00364964,17,1,1,0.888683224424084,TRUE,1
35013,60015,0,0,1,496500,360,518000,0,710,95.84942085,7,1,1,0.924544891947943,TRUE,1
115091,140424,1,0,0,566500,180,698000,0,712,81.16045845,18,1,1,0.885683051104651,TRUE,1
99836,125090,0,0,0,396500,300,478000,0,790,82.94979079,11,1,1,0.882986552794617,TRUE,1
129333,154715,1,0,1,76500,360,98000,0,842,78.06122449,12,1,1,0.880292309604918,TRUE,1
110453,135767,0,0,1,96500,360,88000,0,865,109.6590909,13,1,1,0.958960888770303,TRUE,1
15853,40782,0,0,0,316500,360,368000,0,893,86.00543478,5,1,0,0.889221119031738,FALSE,0.923076923076923
22156,47112,0,0,0,336500,360,508000,60,656,66.24015748,32,1,1,0.758375396158807,TRUE,0.928571428571429
85440,110633,0,0,0,276500,360,538000,240,619,51.39405204,20,1,1,0.796649364781073,TRUE,0.933333333333333
38691,63708,0,0,0,116500,360,418000,240,868,27.8708134,18,1,1,0.840024528071635,TRUE,0.9375
52429,77501,0,0,1,326500,360,408000,300,721,80.0245098,13,1,1,0.943487441783796,TRUE,0.941176470588235
38402,63416,0,0,0,276500,360,588000,360,869,47.02380952,55,1,1,0.909591016434375,TRUE,0.944444444444444
139406,164821,0,0,0,176500,180,198000,420,817,89.14141414,30,1,1,0.846381974201469,TRUE,0.947368421052632
129883,155268,0,0,0,356500,360,438000,480,632,81.39269406,13,1,1,0.871851716414766,TRUE,0.95
125860,151238,0,0,0,476500,360,668000,480,680,71.33233533,20,1,1,0.820395341081455,TRUE,0.952380952380952
110173,135486,1,0,1,56500,360,268000,660,680,21.08208955,57,1,1,0.796169724304524,TRUE,0.954545454545455
50620,75681,0,0,0,126500,360,228000,660,848,55.48245614,44,1,0,0.713533044029822,FALSE,0.91304347826087
129860,155245,1,0,0,456500,360,728000,720,540,62.70604396,28,1,1,0.756465601213332,TRUE,0.916666666666667
85914,111108,0,0,0,86500,360,108000,720,614,80.09259259,28,1,1,0.75669192667222,TRUE,0.92
68468,93598,0,0,0,226500,300,268000,720,632,84.51492537,6,1,1,0.913345674375,TRUE,0.923076923076923
73400,98549,0,0,1,76500,360,208000,780,895,36.77884615,15,1,1,0.848735358549143,TRUE,0.925925925925926
122367,147731,0,0,1,156500,360,288000,840,545,54.34027778,30,1,1,0.843648195370769,TRUE,0.928571428571429
102007,127270,0,0,0,86500,360,98000,840,621,88.26530612,48,1,1,0.805725484152717,TRUE,0.931034482758621
53575,78650,0,0,1,56500,360,118000,900,556,47.88135593,45,1,0,0.760159533319896,FALSE,0.9
40046,65069,0,0,0,66500,360,78000,900,562,85.25641026,45,1,0,0.761764374414094,FALSE,0.870967741935484
126025,151403,1,0,1,86500,360,108000,900,609,80.09259259,48,1,0,0.748798788854483,FALSE,0.84375
23539,48501,1,0,1,56500,180,108000,900,631,52.31481481,36,1,1,0.752994609053572,TRUE,0.848484848484848
24619,49581,0,0,0,206500,360,298000,900,663,69.29530201,9,1,0,0.89360420570328,FALSE,0.823529411764706
116334,141672,0,0,1,36500,300,108000,960,520,33.7962963,54,1,1,0.767654344081724,TRUE,0.828571428571429
73137,98284,0,0,0,216500,360,368000,960,680,58.83152174,39,1,1,0.727953477499514,TRUE,0.833333333333333
41611,66638,0,0,0,76500,360,198000,960,685,38.63636364,43,1,0,0.696273206945626,FALSE,0.810810810810811
112445,137769,0,0,0,86500,360,108000,960,887,80.09259259,43,1,0,0.723889591306847,FALSE,0.789473684210526
81022,106197,0,0,0,76500,360,188000,1020,870,40.69148936,44,1,1,0.662344660722148,TRUE,0.794871794871795
124899,150274,0,0,0,106500,360,218000,1080,574,48.85321101,41,1,0,0.670824717353591,FALSE,0.775
2331,27226,1,0,0,116500,360,168000,1080,701,69.3452381,50,1,1,0.825516924693272,TRUE,0.780487804878049
13966,38889,0,0,0,76500,360,208000,1080,807,36.77884615,44,1,1,0.648885155431112,TRUE,0.785714285714286
113747,139075,0,0,0,116500,324,158000,1140,503,73.73417722,47,1,0,0.653442040121088,FALSE,0.767441860465116
94618,119848,1,0,0,96500,360,108000,1140,565,89.35185185,42,1,0,0.66201026511892,FALSE,0.75
97477,122722,0,0,0,106500,360,608000,1140,566,17.51644737,43,1,0,0.6139603461486,FALSE,0.733333333333333
38088,63101,0,0,1,116500,360,178000,1140,568,65.4494382,46,1,0,0.746217128211914,FALSE,0.717391304347826
19685,44628,0,0,0,116500,300,238000,1140,590,48.94957983,57,1,1,0.879192445219562,TRUE,0.723404255319149
58588,83687,0,0,0,76500,360,508000,1140,633,15.05905512,45,1,0,0.612906569484159,FALSE,0.708333333333333
108669,133972,1,0,0,46500,360,68000,1140,642,68.38235294,46,1,0,0.63641198647683,FALSE,0.693877551020408
96414,121653,0,0,1,56500,240,108000,1140,675,52.31481481,47,1,0,0.753452027332648,FALSE,0.68
57714,82807,1,0,0,96500,240,118000,1140,682,81.77966102,44,1,0,0.608923146619467,FALSE,0.666666666666667
95912,121148,0,0,0,106500,360,368000,1140,763,28.94021739,45,1,0,0.612910796720891,FALSE,0.653846153846154
127697,153077,0,0,1,216500,360,288000,1140,811,75.17361111,24,1,1,0.850242060878596,TRUE,0.660377358490566
132750,158142,0,0,1,86500,360,118000,1140,814,73.30508475,57,1,0,0.735117682659536,FALSE,0.648148148148148
49283,74338,0,0,0,106500,360,208000,1200,514,51.20192308,7,1,1,0.784114852126209,TRUE,0.654545454545455
43287,68320,0,0,0,116500,360,238000,1200,536,48.94957983,47,1,0,0.628980569904875,FALSE,0.642857142857143
14126,39049,1,0,0,96500,360,118000,1200,643,81.77966102,54,1,0,0.788247777561195,FALSE,0.631578947368421
120230,145582,0,0,0,76500,360,78000,1200,679,98.07692308,36,1,0,0.798610021187862,FALSE,0.620689655172414
