,ID,Levy,Prod. year,Leather interior,Mileage,Cylinders,Doors,Wheel,Airbags,Airbags0,Category_Coupe,Category_Goods wagon,Category_Hatchback,Category_Jeep,Category_Microbus,Category_Minivan,Category_Sedan,Category_Universal,Fuel type_CNG,Fuel type_Diesel,Fuel type_Hybrid,Fuel type_LPG,Fuel type_Petrol,Fuel type_Plug-in Hybrid,Gear box type_Automatic,Gear box type_Manual,Gear box type_Tiptronic,Gear box type_Variator,Drive wheels_4x4,Drive wheels_Front,Drive wheels_Rear,merged1,tahmin,real,error,direction,abserror,percentage,abspercentage
12449,45724902,642.0,2012,1,144000,4,1,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,20532.581457608987,26657.0,6124.418542391013,1.0,6124.418542391013,0.22974897934467545,0.22974897934467545
5852,45752288,880.0,2018,1,0,4,1,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,11846.151229233916,2587.0,-9259.151229233916,-1.0,9259.151229233916,-3.5791075489887576,3.5791075489887576
16932,45797273,583.0,2011,1,125933,4,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,16238.729909172309,15323.0,-915.7299091723089,-1.0,915.7299091723089,-0.05976179006541205,0.05976179006541205
11177,45808774,586.0,2012,0,165758,4,1,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,15813.138437602016,8467.0,-7346.138437602016,-1.0,7346.138437602016,-0.8676199879062261,0.8676199879062261
5527,45782086,-1088.1170112795858,2000,0,27000,6,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,9002.54004413477,9095.0,92.45995586522986,1.0,92.45995586522986,0.010166020435979094,0.010166020435979094
18943,45803931,642.0,2012,1,51697,4,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,23181.387923528837,17092.0,-6089.387923528837,-1.0,6089.387923528837,-0.35627123353199375,0.35627123353199375
3536,45775451,-1625.043011279586,1998,0,11580,4,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4782.0592351495125,4077.0,-705.0592351495125,-1.0,705.0592351495125,-0.17293579473865894,0.17293579473865894
17153,45815420,6327.838988720415,2012,1,105000,8,1,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,81632.40683220969,78403.0,-3229.4068322096864,-1.0,3229.4068322096864,-0.04118983753440157,0.04118983753440157
11206,45774087,1399.0,2010,1,189530,6,1,1,12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,9639.512685144748,12388.0,2748.4873148552524,1.0,2748.4873148552524,0.22186691272644918,0.22186691272644918
13473,45730608,707.0,2011,1,240323,4,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,20341.632126186152,18826.0,-1515.6321261861522,-1.0,1515.6321261861522,-0.08050739010868757,0.08050739010868757
14084,45810055,501.0,2014,1,56000,4,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,23378.3189493316,28225.0,4846.681050668401,1.0,4846.681050668401,0.17171589196345088,0.17171589196345088
14773,45788266,-182.1480112795859,2002,0,213990,4,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,17390.813091093936,17562.0,171.18690890606376,1.0,171.18690890606376,0.009747574815286628,0.009747574815286628
4215,45797476,1047.0,2007,1,114540,4,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,12808.561087100754,11704.0,-1104.5610871007539,-1.0,1104.5610871007539,-0.09437466567846496,0.09437466567846496
3347,45797236,1537.0,2009,1,159747,4,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,14800.67497437983,12231.0,-2569.67497437983,-1.0,2569.67497437983,-0.2100952476804701,0.2100952476804701
16088,45805579,781.0,2012,1,120000,5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,15960.274230639505,14113.0,-1847.2742306395048,-1.0,1847.2742306395048,-0.1308916765138174,0.1308916765138174
18893,45766286,1820.0,2019,1,17542,6,1,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,22754.703266275155,31047.0,8292.296733724845,1.0,8292.296733724845,0.2670885023907252,0.2670885023907252
5513,45785527,-651.8780112795858,2007,0,336000,4,1,1,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,11397.034969203294,13172.0,1774.9650307967058,1.0,1774.9650307967058,0.13475288724542256,0.13475288724542256
12390,45769589,2377.0,2016,1,54875,8,1,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,26149.08267472782,11290.0,-14859.082674727819,-1.0,14859.082674727819,-1.3161277834125615,1.3161277834125615
1949,45742806,521.0,2011,0,178000,4,1,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,14204.401920648303,12858.0,-1346.4019206483026,-1.0,1346.4019206483026,-0.10471316850585648,0.10471316850585648
10634,45730057,707.0,2011,1,131114,4,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,21634.005982002178,22649.0,1014.9940179978221,1.0,1014.9940179978221,0.04481407647127123,0.04481407647127123
15434,45730428,640.0,2013,1,107141,4,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,30052.459969801806,32045.0,1992.5400301981936,1.0,1992.5400301981936,0.062179436111661525,0.062179436111661525
1122,45709486,-1457.2670112795859,2005,1,1000,8,1,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,13597.945399679353,5645.0,-7952.945399679353,-1.0,7952.945399679353,-1.408847723592445,1.408847723592445
8500,45810346,642.0,2012,1,162069,4,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,17031.709557005575,19384.0,2352.2904429944247,1.0,2352.2904429944247,0.12135216895348869,0.12135216895348869
3539,45803690,-1222.4020112795858,2000,1,0,4,1,1,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,8448.342855848528,7840.0,-608.3428558485284,-1.0,608.3428558485284,-0.07759475202149597,0.07759475202149597
6887,45764129,1363.0,2012,1,229334,8,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,31103.759433956846,52059.0,20955.240566043154,1.0,20955.240566043154,0.40252868026744953,0.40252868026744953
11063,43375256,1126.5689887204142,2010,1,18000,6,1,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,28093.569750826442,29793.0,1699.430249173558,1.0,1699.430249173558,0.05704125966413446,0.05704125966413446
13983,45714758,1629.8969887204141,2011,1,144000,6,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,29734.343418757402,34497.0,4762.656581242598,1.0,4762.656581242598,0.1380600220669217,0.1380600220669217
4761,45797952,-1423.669011279586,2003,0,222222,4,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,6278.793578659659,5959.0,-319.79357865965903,-1.0,319.79357865965903,-0.053665645017563185,0.053665645017563185
485,45781983,2468.776988720414,2006,1,180000,8,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,32821.7975016424,42337.0,9515.202498357598,1.0,9515.202498357598,0.22474909649615224,0.22474909649615224
4103,45814482,589.6429887204141,2011,1,119000,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,12569.034432763943,24775.0,12205.965567236057,1.0,12205.965567236057,0.49267267678046645,0.49267267678046645
847,45800821,-1547.6820112795858,1994,0,0,4,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,5734.585728197169,4800.0,-934.5857281971694,-1.0,934.5857281971694,-0.19470536004107694,0.19470536004107694
8630,45761262,-953.9390112795859,2001,0,250000,1,1,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,10110.810766018623,10349.0,238.18923398137667,1.0,238.18923398137667,0.023015676295427258,0.023015676295427258
11799,45810495,-215.63901127958587,2004,1,240000,8,1,1,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,21359.34391953526,17249.0,-4110.3439195352585,-1.0,4110.3439195352585,-0.23829462111051414,0.23829462111051414
3446,45803884,1079.0,2018,1,46503,4,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,54539.24786735349,54346.0,-193.24786735349335,-1.0,193.24786735349335,-0.0035558802368802368,0.0035558802368802368
1023,45741747,475.0,2012,0,156800,4,1,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,15343.360806877516,14113.0,-1230.3608068775156,-1.0,1230.3608068775156,-0.08717925365815317,0.08717925365815317
3861,45783744,-884.2820112795858,2001,1,137582,6,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,12072.112207273183,11000.0,-1072.1122072731832,-1.0,1072.1122072731832,-0.09746474611574393,0.09746474611574393
